7zip 26.02-1
perl-http-daemon 6.17-1
perl-http-date 6.08-1
perl-http-message 7.04-1
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
perl-libwww 6.83-1
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-mime-base32 1.303-13
perl-net-http 6.24-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.36-1
perl-www-robotrules 6.03-1
perl-xml-parser 2.59-1
perl-xml-writer 0.900-6
phonon-qt6 4.12.0-6
phonon-qt6-vlc 0.12.0-6
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkcs11-helper 1.31.0-1
pkgconf 3.0.6-1
pkgfile 26-1
plocate 1.1.24-2
polkit 127-3
polkit-gnome 0.105-12
poppler 26.08.0-1
poppler-data 0.4.12-2
poppler-glib 26.08.0-1
poppler-qt6 26.08.0-1
popt 1.19-2
portaudio 1:19.7.0-4
postgresql 18.6-1
postgresql-libs 18.6-1
power-profiles-daemon 0.30-1
ppp 2.5.3-1
procps-ng 4.0.7-1
protobuf 36.0-1
psmisc 23.7-2
pulseaudio-qt 1.8.1-1
purpose 6.29.0-1
python 3.14.7-1
python-accessible-pygments 0.0.5-3
python-annotated-types 0.8.0-1
python-argcomplete 3.7.2-1
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-babel 2.18.0-1
python-beautifulsoup4 4.15.0-1
python-brltty 6.9.1-3
python-build 1.6.0-1
python-cairo 1.29.1-1
python-capng 0.9.5-1
python-certifi 2026.07.22-1
python-cffi 2.1.1-1
python-charset-normalizer 3.5.1-1
python-click 8.3.3-1
python-colorama 0.4.6-6
python-cryptography 50.0.1-1
python-dasbus 1.7-5
python-dateutil 2.9.0-8
python-dbus 1.4.0-2
python-decorator 5.3.1-1
python-defusedxml 0.7.1-8
python-distlib 0.4.3-1
python-distro 1.9.0-4
python-docutils 1:0.23-1
python-filelock 3.30.0-1
python-firewall 2.5.1-2
python-freezegun 1.5.5-2
python-gobject 3.56.3-1
python-idna 3.19-1
python-imagesize 2.0.1-1
python-iniconfig 2.3.0-1
python-installer 1.0.1-1
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-jinja 1:3.1.6-3
python-markupsafe 3.0.3-1
python-more-itertools 11.1.0-1
python-natsort 8.4.0-4
python-orjson 3.12.0-1
python-packaging 26.3-1
python-pip 26.2.1-1
python-pipx 1.15.0-1
python-pkg_resources 81.0.0-1
python-platformdirs 4.11.5-1
python-pluggy 1.6.0-3
python-psutil 7.2.2-1
python-pyaml 26.7.0-1
python-pycparser 3.00-1
python-pydantic 2.13.4-1
python-pydantic-core 3:2.46.4-1
python-pygments 2.20.0-1
python-pyproject-hooks 1.2.0-6
python-pyqt6 6.11.0-3
python-pyqt6-sip 13.12.0-1
python-pyte 0.8.2-5
python-pytest 1:9.1.0-1
